Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds),amount,case_len,country,cpv,cpv_division,electronic,framework_agr,t_type
2022312240,5,Variant 3,3,07.06.2022 00:00:00,31.08.2030 00:00:00,"8 years, 87 days",259804800000,1173914.59,4,IT,60130000,60,N,N,S
2017307639,7,Variant 7,7,01.08.2017 00:00:00,31.07.2025 00:00:00,"8 years, 1 day",252374400000,8373750.0,6,IT,80110000,80,N,N,S
2017139704,12,Variant 52,52,11.04.2017 00:00:00,28.02.2025 00:00:00,"7 years, 325 days",248835600000,4197671.0,11,IT,79411000,79,N,N,S
2018358402,6,Variant 2,2,13.08.2018 00:00:00,30.06.2026 00:00:00,"7 years, 323 days",248659200000,2565000.0,5,IT,92320000,92,Y,N,S
2017394870,8,Variant 21,21,02.10.2017 00:00:00,31.07.2025 00:00:00,"7 years, 304 days",247017600000,13446510.0,7,IT,80110000,80,N,N,S
2016131657,7,Variant 13,13,12.04.2016 00:00:00,31.12.2023 00:00:00,"7 years, 264 days",243565200000,962000.0,6,IT,79419000,79,N,N,S
2019614733,6,Variant 2,2,19.12.2019 00:00:00,31.08.2027 00:00:00,"7 years, 256 days",242953200000,1211616.0,5,IT,80410000,80,N,N,S
2022529535,5,Variant 3,3,23.09.2022 00:00:00,31.05.2030 00:00:00,"7 years, 252 days",242524800000,385000.0,4,IT,90620000,90,N,N,S
2017268231,5,Variant 10,10,07.07.2017 00:00:00,31.12.2024 00:00:00,"7 years, 179 days",236221200000,1380309.0,4,IT,79420000,79,N,N,S
2018315505,6,Variant 1,1,16.07.2018 00:00:00,31.12.2025 00:00:00,"7 years, 170 days",235443600000,2059659.7,5,IT,60130000,60,N,N,S
2016272043,5,Variant 5,5,01.08.2016 00:00:00,31.12.2023 00:00:00,"7 years, 153 days",233974800000,24753377.28,5,IT,90500000,90,N,N,S
201689079,6,Variant 1,1,11.03.2016 00:00:00,31.07.2023 00:00:00,"7 years, 142 days",233103600000,2479680.0,5,IT,80110000,80,N,N,S
2020196666,6,Variant 2,2,27.04.2020 00:00:00,31.08.2027 00:00:00,"7 years, 127 days",231724800000,4733057.28,5,IT,80410000,80,N,N,S
20171273,6,Variant 1,1,02.01.2017 00:00:00,02.05.2024 00:00:00,"7 years, 121 days",231289200000,1013600.0,5,IT,60112000,60,,N,S
2017350517,5,Variant 10,10,04.09.2017 00:00:00,31.12.2024 00:00:00,"7 years, 120 days",231123600000,987464.0,4,IT,79411000,79,N,N,S
2018392655,6,Variant 2,2,06.09.2018 00:00:00,31.12.2025 00:00:00,"7 years, 118 days",230950800000,491064.0,5,IT,90500000,90,N,N,S
2018233284,6,Variant 1,1,28.05.2018 00:00:00,31.08.2025 00:00:00,"7 years, 97 days",229132800000,3178232.4,5,IT,55524000,55,N,N,S
2018385937,5,Variant 5,5,30.08.2018 00:00:00,17.11.2025 00:00:00,"7 years, 81 days",227754000000,450000.0,5,IT,98380000,98,Y,N,S
2021661982,6,Variant 6,6,20.12.2021 00:00:00,31.12.2028 00:00:00,"7 years, 13 days",221875200000,868000.0,5,IT,79940000,79,N,N,S
2018468248,6,Variant 2,2,19.10.2018 00:00:00,31.08.2025 00:00:00,"6 years, 318 days",216691200000,6890000.0,5,IT,55300000,55,N,N,S
201786178,6,Variant 2,2,03.03.2017 00:00:00,31.12.2023 00:00:00,"6 years, 304 days",215481600000,2403000.0,5,IT,79340000,79,N,N,S
2022156910,5,Variant 3,3,22.03.2022 00:00:00,31.12.2028 00:00:00,"6 years, 286 days",213926400000,1638000.0,4,IT,66510000,66,Y,N,S
2017520747,5,Variant 4,4,21.12.2017 00:00:00,31.08.2024 00:00:00,"6 years, 254 days",211244400000,,5,IT,55300000,55,,N,S
2022130880,4,Variant 8,8,08.03.2022 00:00:00,14.09.2028 00:00:00,"6 years, 191 days",205801200000,,4,IT,80310000,80,,N,S
201671190,6,Variant 1,1,26.02.2016 00:00:00,31.08.2022 00:00:00,"6 years, 187 days",205455600000,978336.0,5,IT,60172000,60,N,N,S
2018126036,6,Variant 2,2,19.03.2018 00:00:00,31.08.2024 00:00:00,"6 years, 166 days",203641200000,52968187.0,5,IT,55524000,55,N,N,S
2017128549,6,Variant 1,1,03.04.2017 00:00:00,31.08.2023 00:00:00,"6 years, 151 days",202262400000,12458839.11,5,IT,60130000,60,N,N,S
2018374099,6,Variant 1,1,24.08.2018 00:00:00,31.12.2024 00:00:00,"6 years, 131 days",200538000000,1093238.46,5,IT,15000000,15,N,N,U
2018392617,6,Variant 2,2,05.09.2018 00:00:00,21.12.2024 00:00:00,"6 years, 109 days",198637200000,3051864.6,5,IT,55523100,55,N,N,S
2018571830,8,Variant 19,19,20.12.2018 00:00:00,31.03.2025 00:00:00,"6 years, 102 days",198111600000,358000.0,7,IT,66600000,66,N,N,S
2018180209,5,Variant 5,5,23.04.2018 00:00:00,31.07.2024 00:00:00,"6 years, 101 days",197942400000,13083789.6,5,IT,55524000,55,,N,S
2016336053,5,Variant 5,5,23.09.2016 00:00:00,31.12.2022 00:00:00,"6 years, 100 days",197859600000,,5,IT,79940000,79,,N,S
2017194014,6,Variant 1,1,19.05.2017 00:00:00,20.08.2023 00:00:00,"6 years, 94 days",197337600000,4974400.0,5,IT,55524000,55,N,N,S
2018241975,6,Variant 2,2,01.06.2018 00:00:00,31.08.2024 00:00:00,"6 years, 93 days",197251200000,1422000.0,5,IT,85311100,85,N,N,S
2016235151,6,Variant 2,2,06.07.2016 00:00:00,30.09.2022 00:00:00,"6 years, 87 days",196732800000,,5,IT,66518100,66,N,N,S
2017180973,5,Variant 4,4,09.05.2017 00:00:00,31.07.2023 00:00:00,"6 years, 84 days",196473600000,5472464.0,5,IT,80110000,80,Y,N,S
2016364062,6,Variant 1,1,13.10.2016 00:00:00,31.12.2022 00:00:00,"6 years, 80 days",196131600000,510900.0,5,IT,66510000,66,N,N,S
2018228927,6,Variant 2,2,25.05.2018 00:00:00,31.07.2024 00:00:00,"6 years, 69 days",195177600000,1713600.0,5,IT,55321000,55,N,N,S
2017268560,5,Variant 4,4,07.07.2017 00:00:00,31.08.2023 00:00:00,"6 years, 56 days",194054400000,,5,IT,55240000,55,,N,S
2017444955,6,Variant 2,2,06.11.2017 00:00:00,31.12.2023 00:00:00,"6 years, 56 days",194054400000,2830000.0,5,IT,55510000,55,N,N,S
2021351050,5,Variant 3,3,07.07.2021 00:00:00,31.08.2027 00:00:00,"6 years, 56 days",194054400000,2177076.0,4,IT,55512000,55,N,N,S
2021238697,6,Variant 1,1,07.05.2021 00:00:00,30.06.2027 00:00:00,"6 years, 55 days",193968000000,502800.0,5,IT,66510000,66,N,N,S
2016402865,6,Variant 2,2,11.11.2016 00:00:00,31.12.2022 00:00:00,"6 years, 51 days",193622400000,340000.0,5,IT,79940000,79,N,N,S
2021361213,5,Variant 3,3,13.07.2021 00:00:00,31.08.2027 00:00:00,"6 years, 50 days",193536000000,1361780.0,4,IT,55524000,55,N,N,S
2021251299,6,Variant 1,1,14.05.2021 00:00:00,30.06.2027 00:00:00,"6 years, 48 days",193363200000,2214000.0,5,IT,55524000,55,N,N,S
2017466064,6,Variant 2,2,17.11.2017 00:00:00,31.12.2023 00:00:00,"6 years, 45 days",193104000000,3754753.51,5,IT,66171000,66,N,N,S
2017238392,6,Variant 1,1,19.06.2017 00:00:00,31.07.2023 00:00:00,"6 years, 43 days",192931200000,4304025.0,5,IT,80110000,80,N,N,S
2021617746,5,Variant 3,3,29.11.2021 00:00:00,31.12.2027 00:00:00,"6 years, 33 days",192067200000,1080000.0,4,IT,77311000,77,N,N,S
2020612767,6,Variant 2,2,15.12.2020 00:00:00,31.12.2026 00:00:00,"6 years, 17 days",190684800000,,5,IT,85300000,85,N,N,S
2019297521,5,Variant 4,4,21.06.2019 00:00:00,30.06.2025 00:00:00,"6 years, 11 days",190166400000,1269600.0,5,IT,55524000,55,,N,S
2016219326,6,Variant 1,1,23.06.2016 00:00:00,30.06.2022 00:00:00,"6 years, 8 days",189907200000,1691670.0,5,IT,80110000,80,N,N,S
2016275290,5,Variant 3,3,04.08.2016 00:00:00,31.07.2022 00:00:00,"5 years, 362 days",188956800000,203580408.95,4,IT,80410000,80,N,N,S
2017364746,6,Variant 1,1,13.09.2017 00:00:00,31.08.2023 00:00:00,"5 years, 353 days",188179200000,1819400.0,5,IT,60112000,60,N,N,S
202173480,5,Variant 3,3,09.02.2021 00:00:00,31.12.2026 00:00:00,"5 years, 326 days",185846400000,322500.0,4,IT,66600000,66,N,N,S
2018421361,5,Variant 4,4,26.09.2018 00:00:00,31.07.2024 00:00:00,"5 years, 310 days",184464000000,2352000.0,5,IT,55524000,55,,N,S
201892134,4,Variant 12,12,28.02.2018 00:00:00,31.12.2023 00:00:00,"5 years, 307 days",184204800000,505000.0,3,IT,79940000,79,N,N,S
2019112643,6,Variant 1,1,07.03.2019 00:00:00,31.12.2024 00:00:00,"5 years, 301 days",183686400000,740500.0,5,IT,98371111,98,N,N,S
201681491,7,Variant 13,13,07.03.2016 00:00:00,31.12.2021 00:00:00,"5 years, 300 days",183600000000,5427059.2,6,IT,90511100,90,N,N,S
2019160005,6,Variant 1,1,02.04.2019 00:00:00,31.12.2024 00:00:00,"5 years, 275 days",181443600000,357000.0,5,IT,79940000,79,N,N,S
2016436597,6,Variant 2,2,07.12.2016 00:00:00,31.08.2022 00:00:00,"5 years, 267 days",180831600000,7409650.0,5,IT,55524000,55,N,N,S
2016127779,6,Variant 1,1,11.04.2016 00:00:00,31.12.2021 00:00:00,"5 years, 265 days",180579600000,3735000.0,5,IT,85300000,85,,N,S
2016137290,6,Variant 1,1,15.04.2016 00:00:00,31.12.2021 00:00:00,"5 years, 261 days",180234000000,1412271.97,5,IT,79940000,79,N,N,S
2019186928,5,Variant 4,4,16.04.2019 00:00:00,31.12.2024 00:00:00,"5 years, 261 days",180234000000,671000.0,5,IT,79220000,79,N,N,S
2019488809,5,Variant 3,3,14.10.2019 00:00:00,30.06.2025 00:00:00,"5 years, 261 days",180230400000,1635105.11,4,IT,60130000,60,N,N,S
2021225277,5,Variant 3,3,30.04.2021 00:00:00,31.12.2026 00:00:00,"5 years, 246 days",178938000000,956225.0,4,IT,90910000,90,N,N,S
2018211179,5,Variant 4,4,15.05.2018 00:00:00,31.12.2023 00:00:00,"5 years, 231 days",177642000000,2748500.0,5,IT,85312100,85,N,N,S
2020612635,6,Variant 1,1,15.12.2020 00:00:00,31.07.2026 00:00:00,"5 years, 228 days",177462000000,329400.0,5,IT,66510000,66,N,N,S
2017194546,5,Variant 4,4,18.05.2017 00:00:00,31.12.2022 00:00:00,"5 years, 228 days",177382800000,470000.0,5,IT,79940000,79,,N,S
2021273975,8,Variant 77,77,27.05.2021 00:00:00,31.12.2026 00:00:00,"5 years, 219 days",176605200000,1811000.0,7,IT,66510000,66,N,N,S
2019124839,6,Variant 6,6,13.03.2019 00:00:00,15.10.2024 00:00:00,"5 years, 217 days",176511600000,751440.0,5,IT,71314200,71,N,N,S
201635325,6,Variant 1,1,28.01.2016 00:00:00,31.08.2021 00:00:00,"5 years, 216 days",176425200000,,5,IT,92320000,92,,N,S
201888427,5,Variant 5,5,26.02.2018 00:00:00,30.09.2023 00:00:00,"5 years, 216 days",176425200000,2105000.0,5,IT,79952100,79,,N,S
20161684,5,Variant 4,4,31.12.2015 00:00:00,31.07.2021 00:00:00,"5 years, 213 days",176166000000,,5,IT,85000000,85,N,N,S
2016433468,5,Variant 3,3,05.12.2016 00:00:00,30.06.2022 00:00:00,"5 years, 207 days",175647600000,1320000.0,4,IT,66600000,66,N,N,S
2019277469,6,Variant 1,1,11.06.2019 00:00:00,31.12.2024 00:00:00,"5 years, 205 days",175395600000,67210.0,5,IT,66600000,66,N,N,S
2018548213,6,Variant 1,1,10.12.2018 00:00:00,30.06.2024 00:00:00,"5 years, 203 days",175302000000,1130667.0,10,IT,66510000,66,N,N,S
2017410525,6,Variant 1,1,12.10.2017 00:00:00,30.04.2023 00:00:00,"5 years, 201 days",175046400000,489985.0,5,IT,66519310,66,N,N,S
201974419,6,Variant 1,1,13.02.2019 00:00:00,31.08.2024 00:00:00,"5 years, 200 days",175042800000,1044500.0,5,IT,60130000,60,N,N,S
2016210777,6,Variant 1,1,16.06.2016 00:00:00,31.12.2021 00:00:00,"5 years, 199 days",174877200000,2416700.0,5,IT,66510000,66,,N,S
2020292264,6,Variant 2,2,19.06.2020 00:00:00,31.12.2025 00:00:00,"5 years, 196 days",174618000000,920000.0,5,IT,66600000,66,N,N,S
2016217048,6,Variant 1,1,20.06.2016 00:00:00,31.12.2021 00:00:00,"5 years, 195 days",174531600000,2096906.0,5,IT,90511000,90,Y,N,S
2016215235,6,Variant 1,1,21.06.2016 00:00:00,31.12.2021 00:00:00,"5 years, 194 days",174445200000,3260333.0,5,IT,66516400,66,N,N,S
2022347157,6,Variant 1,1,23.06.2022 00:00:00,31.12.2027 00:00:00,"5 years, 192 days",174272400000,1496500.0,5,IT,55521100,55,N,N,S
2020630515,6,Variant 1,1,21.12.2020 00:00:00,30.06.2026 00:00:00,"5 years, 191 days",174265200000,309441.0,5,IT,60130000,60,N,N,S
2017189224,5,Variant 11,11,15.05.2017 00:00:00,15.11.2022 00:00:00,"5 years, 185 days",173667600000,1500000.0,4,IT,98351000,98,N,N,S
2020310734,5,Variant 3,3,30.06.2020 00:00:00,31.12.2025 00:00:00,"5 years, 185 days",173667600000,,4,IT,55320000,55,N,N,S
2019108081,6,Variant 1,1,05.03.2019 00:00:00,31.08.2024 00:00:00,"5 years, 180 days",173314800000,,5,IT,55524000,55,N,N,S
201955836,5,Variant 11,11,04.02.2019 00:00:00,31.07.2024 00:00:00,"5 years, 178 days",173142000000,,4,IT,60112000,60,N,N,S
2017119279,6,Variant 1,1,28.03.2017 00:00:00,20.09.2022 00:00:00,"5 years, 177 days",172972800000,,5,IT,66518100,66,N,N,S
2021130928,5,Variant 3,3,11.03.2021 00:00:00,31.08.2026 00:00:00,"5 years, 173 days",172710000000,,4,IT,80110000,80,N,N,S
2020126385,6,Variant 1,1,12.03.2020 00:00:00,31.08.2025 00:00:00,"5 years, 172 days",172623600000,78135134.62,5,IT,55524000,55,N,N,S
2018456776,6,Variant 1,1,15.10.2018 00:00:00,31.03.2024 00:00:00,"5 years, 169 days",172285200000,72500.0,5,IT,66510000,66,N,N,S
201617147,6,Variant 1,1,14.01.2016 00:00:00,30.06.2021 00:00:00,"5 years, 168 days",172278000000,4006227.27,5,IT,85320000,85,N,N,S
2020344856,6,Variant 1,1,17.07.2020 00:00:00,31.12.2025 00:00:00,"5 years, 168 days",172198800000,638083.33,5,IT,98371110,98,N,N,S
2016251438,6,Variant 1,1,18.07.2016 00:00:00,31.12.2021 00:00:00,"5 years, 167 days",172112400000,,5,IT,77310000,77,N,N,S
2020289496,5,Variant 3,3,17.06.2020 00:00:00,30.11.2025 00:00:00,"5 years, 167 days",172112400000,705000.0,4,IT,66510000,66,N,N,S
2019136558,8,Variant 27,27,20.03.2019 00:00:00,31.08.2024 00:00:00,"5 years, 165 days",172018800000,,7,IT,80410000,80,N,N,S
2019348560,5,Variant 4,4,22.07.2019 00:00:00,31.12.2024 00:00:00,"5 years, 164 days",171853200000,4994693.2,5,IT,55524000,55,,N,S
2020348028,5,Variant 4,4,21.07.2020 00:00:00,31.12.2025 00:00:00,"5 years, 164 days",171853200000,20000000.0,5,IT,66600000,66,,N,S
2019352185,6,Variant 1,1,23.07.2019 00:00:00,31.12.2024 00:00:00,"5 years, 163 days",171766800000,945000.0,5,IT,66515000,66,N,N,S
2020504163,5,Variant 3,3,20.10.2020 00:00:00,31.03.2026 00:00:00,"5 years, 163 days",171763200000,,4,IT,90510000,90,N,N,S
2021150677,6,Variant 1,1,22.03.2021 00:00:00,31.08.2026 00:00:00,"5 years, 162 days",171759600000,1607285.0,5,IT,55524000,55,N,N,S
2022156860,6,Variant 1,1,22.03.2022 00:00:00,31.08.2027 00:00:00,"5 years, 162 days",171759600000,,5,IT,85300000,85,N,N,S
2017300390,5,Variant 4,4,27.07.2017 00:00:00,31.12.2022 00:00:00,"5 years, 158 days",171334800000,160000.0,5,IT,79940000,79,,N,S
2018334472,6,Variant 2,2,27.07.2018 00:00:00,31.12.2023 00:00:00,"5 years, 158 days",171334800000,3850915.5,5,IT,90511000,90,N,N,S
2018141320,6,Variant 1,1,28.03.2018 00:00:00,31.08.2023 00:00:00,"5 years, 157 days",171244800000,1929460.0,5,IT,85312500,85,,N,S
2018521944,6,Variant 1,1,26.11.2018 00:00:00,30.04.2024 00:00:00,"5 years, 156 days",171241200000,840328.0,5,IT,66516000,66,N,N,S
2016267824,8,Variant 44,44,29.07.2016 00:00:00,31.12.2021 00:00:00,"5 years, 156 days",171162000000,296000.0,15,IT,66510000,66,N,N,S
202042333,5,Variant 3,3,27.01.2020 00:00:00,30.06.2025 00:00:00,"5 years, 155 days",171154800000,157500.0,4,IT,72330000,72,N,N,S
202044398,6,Variant 23,23,27.01.2020 00:00:00,30.06.2025 00:00:00,"5 years, 155 days",171154800000,658550.0,5,IT,66510000,66,N,N,S
202048453,6,Variant 2,2,27.01.2020 00:00:00,30.06.2025 00:00:00,"5 years, 155 days",171154800000,419498.0,5,IT,60000000,60,N,N,S
2017122512,6,Variant 1,1,30.03.2017 00:00:00,31.08.2022 00:00:00,"5 years, 155 days",171072000000,2278200.0,5,IT,55524000,55,N,N,S
2018480124,6,Variant 1,1,29.10.2018 00:00:00,31.03.2024 00:00:00,"5 years, 155 days",171072000000,1710000.0,5,IT,66510000,66,N,N,S
2018425088,6,Variant 1,1,28.09.2018 00:00:00,28.02.2024 00:00:00,"5 years, 154 days",170989200000,3825000.0,5,IT,66510000,66,N,N,S
2020368138,6,Variant 1,1,31.07.2020 00:00:00,31.12.2025 00:00:00,"5 years, 154 days",170989200000,7224669.0,5,IT,66510000,66,N,N,S
2016117315,5,Variant 4,4,01.04.2016 00:00:00,31.08.2021 00:00:00,"5 years, 153 days",170899200000,987000.0,5,IT,60130000,60,N,N,S
2018428559,5,Variant 5,5,28.09.2018 00:00:00,26.02.2024 00:00:00,"5 years, 152 days",170816400000,,5,IT,90500000,90,,N,S
2016102606,5,Variant 5,5,24.03.2016 00:00:00,22.08.2021 00:00:00,"5 years, 151 days",170809200000,2029500.0,5,IT,85000000,85,,N,S
2017310607,7,Variant 7,7,03.08.2017 00:00:00,31.12.2022 00:00:00,"5 years, 151 days",170730000000,,6,IT,66510000,66,N,N,S
2018347243,6,Variant 1,1,03.08.2018 00:00:00,31.12.2023 00:00:00,"5 years, 151 days",170730000000,5550468.13,5,IT,90511000,90,N,N,S
2018146922,6,Variant 1,1,03.04.2018 00:00:00,31.08.2023 00:00:00,"5 years, 151 days",170726400000,1375772.0,5,IT,55524000,55,N,N,S
2018150972,6,Variant 1,1,03.04.2018 00:00:00,31.08.2023 00:00:00,"5 years, 151 days",170726400000,18296802.17,5,IT,55524000,55,Y,N,S
202262432,5,Variant 3,3,01.02.2022 00:00:00,30.06.2027 00:00:00,"5 years, 149 days",170636400000,600000.0,4,IT,92610000,92,N,N,S
2020375134,6,Variant 1,1,05.08.2020 00:00:00,31.12.2025 00:00:00,"5 years, 149 days",170557200000,1046500.0,5,IT,66510000,66,N,N,S
2017130492,6,Variant 1,1,05.04.2017 00:00:00,31.08.2022 00:00:00,"5 years, 149 days",170553600000,2743523.81,5,IT,85311300,85,N,N,S
2019112545,6,Variant 1,1,06.03.2019 00:00:00,31.07.2024 00:00:00,"5 years, 148 days",170550000000,451500.0,5,IT,90000000,90,N,N,S
2016124507,6,Variant 2,2,07.04.2016 00:00:00,31.08.2021 00:00:00,"5 years, 147 days",170380800000,5399665.0,5,IT,55524000,55,N,N,S
2017490371,6,Variant 2,2,06.12.2017 00:00:00,30.04.2023 00:00:00,"5 years, 145 days",170290800000,15221318.8,5,IT,85311100,85,N,N,S
2018352187,6,Variant 1,1,09.08.2018 00:00:00,31.12.2023 00:00:00,"5 years, 145 days",170211600000,,5,IT,60130000,60,N,N,S
2018160876,6,Variant 1,1,09.04.2018 00:00:00,31.08.2023 00:00:00,"5 years, 145 days",170208000000,2107379.41,5,IT,60112000,60,N,N,S
202275692,6,Variant 2,2,07.02.2022 00:00:00,30.06.2027 00:00:00,"5 years, 143 days",170118000000,1925000.0,5,IT,55524000,55,N,N,S
2020382789,6,Variant 2,2,11.08.2020 00:00:00,31.12.2025 00:00:00,"5 years, 143 days",170038800000,245245.9,5,IT,92521000,92,N,N,S
2019178695,6,Variant 1,1,12.04.2019 00:00:00,31.08.2024 00:00:00,"5 years, 143 days",170035200000,5948700.0,5,IT,55512000,55,Y,N,S
201752990,6,Variant 1,1,08.02.2017 00:00:00,30.06.2022 00:00:00,"5 years, 142 days",170031600000,1540000.0,5,IT,55512000,55,N,N,S
2021187705,6,Variant 1,1,12.04.2021 00:00:00,31.08.2026 00:00:00,"5 years, 142 days",169948800000,3016400.0,5,IT,80110000,80,N,N,S
201651841,6,Variant 1,1,11.02.2016 00:00:00,30.06.2021 00:00:00,"5 years, 140 days",169858800000,187000.0,5,IT,66600000,66,N,N,S
201967552,6,Variant 1,1,11.02.2019 00:00:00,30.06.2024 00:00:00,"5 years, 140 days",169858800000,1500000.0,5,IT,66516000,66,N,N,S
2020178354,6,Variant 2,2,14.04.2020 00:00:00,31.08.2025 00:00:00,"5 years, 140 days",169776000000,1103000.0,5,IT,80110000,80,N,N,S
